Svenska,,Swedish
Engelska,,English
Franska,,French
Spanska,,Spanish
Tyska,,German
Albanska,,Albanian
Arabiska,,Arabic
Bosniska,,Bosnian
Bulgariska,,Bulgarian
Danska,,Danish
Finska,,Finnish
Grekiska,,Greek
Hebreiska,,Hebrew
Hindi,,Hindi
Indonesiska,,Indonesian
Italienska,,Italian
Japanska,,Japanese
Katalanska,,Catalan
Kinesiska,,Chinese
Koreanska,,Korean
Kroatiska,,Croatian
Lettiska,,Latvian
Litauiska,,Lithuanian
Malajiska,,Malay
Nederländska,,Dutch
Norska,,Norwegian
Polska,,Polish
Portugisiska,,Portuguese
Rumänska,,Romanian
Ryska,,Russian
Serbiska,,Serbian
Slovakiska,,Slovak
Slovenska,,Slovenian
Swahili,,Swahili
Tagalog,,Tagalog
Teckenspråk,,Sign language
Thailändska,,Thai
Tjeckiska,,Czech
Turkiska,,Turkish
Ukrainska,,Ukrainian
Ungerska,,Hungarian
Vietnamesiska,,Vietnamese
